Date,Symbol,Futures Contracts,Futures Quantity,Futures Value (Rs. In Crs.),Options Contracts,Options Quantity,Options Value (Rs. In Crs.),Total Overall Value (Rs. In Crs.),Equity Traded Value (Rs. In Crs.),Equity Traded Quantity (in Lakhs),Equity Number of Trades,Equity Total Market Cap (Rs. Crs.)
2016-01-01,BANKNIFTY,68885,2066550,3515.36,140382,4211460,7239.87,10755.23,12790.77,8708.88,4906794,9885286.13
2016-01-01,DJIA,209,6270,10.92,0,0,0.00,10.92,12790.77,8708.88,4906794,9885286.13
2016-01-01,NIFTY,81885,6141375,4890.54,859166,64437450,52040.85,56931.39,12790.77,8708.88,4906794,9885286.13
2016-01-01,NIFTYIT,74,3330,3.73,0,0,0.00,3.73,12790.77,8708.88,4906794,9885286.13
2016-01-01,S&P500,218,54500,11.15,0,0,0.00,11.15,12790.77,8708.88,4906794,9885286.13
2016-01-04,BANKNIFTY,120370,3611100,6049.24,376915,11307450,19188.74,25237.98,17179.35,11940.71,7498588,9724199.47
2016-01-04,DJIA,418,12540,21.59,0,0,0.00,21.59,17179.35,11940.71,7498588,9724199.47
2016-01-04,NIFTY,226345,16975875,13340.09,2546999,191024925,151788.40,165128.49,17179.35,11940.71,7498588,9724199.47
2016-01-04,NIFTYIT,152,6840,7.59,2,90,0.10,7.69,17179.35,11940.71,7498588,9724199.47
2016-01-04,S&P500,982,245500,49.60,0,0,0.00,49.60,17179.35,11940.71,7498588,9724199.47
2016-01-05,BANKNIFTY,88971,2669130,4431.65,274156,8224680,13823.40,18255.05,17657.69,14100.76,7865865,9752722.53
2016-01-05,DJIA,243,7290,12.48,0,0,0.00,12.48,17657.69,14100.76,7865865,9752722.53
2016-01-05,NIFTY,148669,11150175,8713.19,1945485,145911375,115647.05,124360.24,17657.69,14100.76,7865865,9752722.53
2016-01-05,NIFTYIT,179,8055,8.87,3,135,0.15,9.02,17657.69,14100.76,7865865,9752722.53
2016-01-05,S&P500,355,88750,17.85,0,0,0.00,17.85,17657.69,14100.76,7865865,9752722.53
2016-01-06,BANKNIFTY,104365,3130950,5172.71,302955,9088650,15233.04,20405.75,20110.22,12892.63,8997270,9722033.56
2016-01-06,DJIA,223,6690,11.36,0,0,0.00,11.36,20110.22,12892.63,8997270,9722033.56
2016-01-06,NIFTY,169347,12701025,9877.81,2131230,159842250,126551.65,136429.46,20110.22,12892.63,8997270,9722033.56
2016-01-06,NIFTYIT,123,5535,6.10,3,135,0.15,6.25,20110.22,12892.63,8997270,9722033.56
2016-01-06,S&P500,397,99250,19.83,0,0,0.00,19.83,20110.22,12892.63,8997270,9722033.56
2016-01-07,BANKNIFTY,107123,3213690,5192.34,431137,12934110,21405.13,26597.47,18650.32,11127.87,8259340,9480099.1
2016-01-07,DJIA,1867,56010,92.89,0,0,0.00,92.89,18650.32,11127.87,8259340,9480099.1
2016-01-07,NIFTY,234900,17617500,13419.15,3324174,249313050,193468.48,206887.63,18650.32,11127.87,8259340,9480099.1
2016-01-07,NIFTYIT,217,9765,10.63,1,45,0.05,10.68,18650.32,11127.87,8259340,9480099.1
2016-01-07,S&P500,682,170500,33.36,0,0,0.00,33.36,18650.32,11127.87,8259340,9480099.1
2016-01-08,BANKNIFTY,70226,2106780,3411.02,261506,7845180,12937.49,16348.51,15936.7,9455.3,7285041,9555746.84
2016-01-08,DJIA,1436,43080,71.82,0,0,0.00,71.82,15936.7,9455.3,7285041,9555746.84
2016-01-08,FTSE100,12,900,0.54,0,0,0.00,0.54,15936.7,9455.3,7285041,9555746.84
