Date,Symbol,No of Contracts Traded,Traded Quantity,Total Traded Value (Rs. In Crs.)
2016-01-01,BANKNIFTY,140382,4211460,7239.87
2016-01-01,NIFTY,859166,64437450,52040.85
2016-01-04,BANKNIFTY,376915,11307450,19188.74
2016-01-04,NIFTY,2546999,191024925,151788.40
2016-01-04,NIFTYIT,2,90,0.10
2016-01-05,BANKNIFTY,274156,8224680,13823.40
2016-01-05,NIFTY,1945485,145911375,115647.05
2016-01-05,NIFTYIT,3,135,0.15
2016-01-06,BANKNIFTY,302955,9088650,15233.04
2016-01-06,NIFTY,2131230,159842250,126551.65
2016-01-06,NIFTYIT,3,135,0.15
2016-01-07,BANKNIFTY,431137,12934110,21405.13
2016-01-07,NIFTY,3324174,249313050,193468.48
2016-01-07,NIFTYIT,1,45,0.05
2016-01-08,BANKNIFTY,261506,7845180,12937.49
2016-01-08,NIFTY,2128620,159646500,123457.97
2016-01-08,NIFTYIT,3,135,0.15
2016-01-11,BANKNIFTY,367361,11020830,17994.59
2016-01-11,NIFTY,2915990,218699250,167842.80
2016-01-11,NIFTYIT,2,90,0.10
2016-01-12,BANKNIFTY,408687,12260610,19871.51
2016-01-12,NIFTY,2248623,168646725,129159.72
2016-01-12,NIFTYIT,6,270,0.29
2016-01-13,BANKNIFTY,673671,20210130,32540.81
2016-01-13,NIFTY,4602985,345223875,264216.92
2016-01-13,NIFTYIT,10,450,0.49
2016-01-14,BANKNIFTY,538736,16162080,25794.78
2016-01-14,NIFTY,3695383,277153725,210863.63
2016-01-14,NIFTYIT,13,585,0.64
2016-01-15,BANKNIFTY,478077,14342310,22779.42
2016-01-15,NIFTY,3076885,230766375,175616.53
2016-01-18,BANKNIFTY,656715,19701450,30708.74
2016-01-18,NIFTY,3762926,282219450,213252.46
2016-01-19,BANKNIFTY,480675,14420250,22366.98
2016-01-19,NIFTY,3344312,250823400,188631.22
2016-01-20,BANKNIFTY,701177,21035310,32106.80
2016-01-20,NIFTY,4539581,340468575,252463.13
2016-01-21,BANKNIFTY,870596,26117880,39899.45
2016-01-21,NIFTY,5072788,380459100,281825.27
2016-01-21,NIFTYIT,2,90,0.10
2016-01-22,BANKNIFTY,894425,26832750,41693.70
2016-01-22,NIFTY,4348304,326122800,243098.31
2016-01-25,BANKNIFTY,683184,20495520,32019.67
2016-01-25,NIFTY,4313861,323539575,242342.89
2016-01-25,NIFTYIT,1,45,0.05
2016-01-27,BANKNIFTY,882265,26467950,41291.27
2016-01-27,NIFTY,4707751,353081325,264489.77
2016-01-28,BANKNIFTY,1311328,39339840,61371.01
2016-01-28,NIFTY,6336485,475236375,355671.54
2016-01-28,NIFTYIT,1,45,0.05
2016-01-29,BANKNIFTY,327412,9822360,15457.77
2016-01-29,NIFTY,1985236,148892700,113018.19
2016-02-01,BANKNIFTY,289371,8681130,13653.43
2016-02-01,NIFTY,1699044,127428300,97456.72
2016-02-01,NIFTYIT,1,45,0.05
2016-02-02,BANKNIFTY,588211,17646330,27524.26
2016-02-02,NIFTY,2625404,196905300,149850.08
2016-02-03,BANKNIFTY,471132,14133960,21623.98
2016-02-03,NIFTY,2452910,183968250,138190.30
2016-02-03,NIFTYIT,3,135,0.15
2016-02-04,BANKNIFTY,450484,13514520,20613.74
2016-02-04,NIFTY,2461897,184642275,139027.94
2016-02-04,NIFTYIT,1,45,0.05
2016-02-05,BANKNIFTY,457388,13721640,21136.20
2016-02-05,NIFTY,2629712,197228400,148889.62
2016-02-08,BANKNIFTY,485098,14552940,22575.43
2016-02-08,NIFTY,2499186,187438950,141675.72
2016-02-09,BANKNIFTY,456074,13682220,20797.59
2016-02-09,NIFTY,3002490,225186750,167872.49
2016-02-10,BANKNIFTY,564014,16920420,25607.63
2016-02-10,NIFTY,3489243,261693225,193583.82
2016-02-10,NIFTYIT,3,135,0.15
2016-02-11,BANKNIFTY,716931,21507930,31934.87
2016-02-11,NIFTY,4685411,351405825,256475.48
2016-02-12,BANKNIFTY,672766,20182980,29172.16
2016-02-12,NIFTY,4797520,359814000,257992.20
2016-02-15,BANKNIFTY,596897,17906910,26169.00
2016-02-15,NIFTY,3462157,259661775,187854.97
2016-02-16,BANKNIFTY,611628,18348840,26760.14
2016-02-16,NIFTY,4370868,327815100,237028.22
2016-02-16,NIFTYIT,2,90,0.10
2016-02-17,BANKNIFTY,796179,23885370,34112.60
2016-02-17,NIFTY,5061173,379587975,271487.97
2016-02-18,BANKNIFTY,686029,20580870,29686.88
2016-02-18,NIFTY,4484248,336318600,243484.68
