Date,Symbol,Futures Contracts,Futures Quantity,Futures Value (Rs. In Crs.),Options Contracts,Options Quantity,Options Value (Rs. In Crs.),Total Overall Value (Rs. In Crs.),Equity Traded Value (Rs. In Crs.),Speculation Ratio,Equity Traded Quantity (in Lakhs),Equity Number of Trades,Equity Total Market Cap (Rs. Crs.),options/futures,open,high,low ,close
2016-01-01,NIFTY,81885,6141375,4890.54,859166,64437450,52040.85,56931.39,12790.77,4.450974414,8708.88,4906794,9885286.13,10.64112552,7938.45,7972.55,7909.8,7963.2
2016-01-04,NIFTY,226345,16975875,13340.09,2546999,191024925,151788.4,165128.49,17179.35,9.612033633,11940.71,7498588,9724199.47,11.37836401,7924.55,7937.55,7781.1,7791.3
2016-01-05,NIFTY,148669,11150175,8713.19,1945485,145911375,115647.05,124360.24,17657.69,7.042837427,14100.76,7865865,9752722.53,13.27264182,7828.4,7831.2,7763.25,7784.65
2016-01-06,NIFTY,169347,12701025,9877.81,2131230,159842250,126551.65,136429.46,20110.22,6.784085903,12892.63,8997270,9722033.56,12.8117113,7788.05,7800.95,7721.2,7741
2016-01-07,NIFTY,234900,17617500,13419.15,3324174,249313050,193468.48,206887.63,18650.32,11.09298017,11127.87,8259340,9480099.1,14.41734238,7673.35,7674.95,7556.6,7568.3
2016-01-08,NIFTY,153668,11525100,8779.21,2128620,159646500,123457.97,132237.18,15936.7,8.297651333,9455.3,7285041,9555746.84,14.06253752,7611.65,7634.1,7581.05,7601.35
2016-01-11,NIFTY,207525,15564375,11765.46,2915990,218699250,167842.8,179608.26,16359.76,10.97866106,10682.44,7547729,9491205.95,14.26572357,7527.45,7605.1,7494.35,7563.85
2016-01-12,NIFTY,163651,12273825,9249.64,2248623,168646725,129159.72,138409.36,16146.73,8.571974635,9691,7669046,9426744.68,13.96375643,7587.2,7588.3,7487.8,7510.3
2016-01-13,NIFTY,313831,23537325,17722.27,4602985,345223875,264216.92,281939.19,22575.92,12.48849172,14442.94,9318253,9397885.42,14.90875153,7557.9,7590.95,7425.8,7562.4
2016-01-14,NIFTY,274327,20574525,15495.71,3695383,277153725,210863.63,226359.34,18544.38,12.20635794,10199.69,8025026,9331075.38,13.60787147,7467.4,7604.8,7443.8,7536.8
2016-01-15,NIFTY,205084,15381300,11533.72,3076885,230766375,175616.53,187150.25,17547.65,10.66526002,9905.16,7435337,9141855.24,15.22635628,7561.65,7566.5,7427.3,7437.8
2016-01-18,NIFTY,217759,16331925,12119.89,3762926,282219450,213252.46,225372.35,18381.85,12.26059129,10960.37,8657849,8947415.22,17.59524715,7420.35,7463.65,7336.4,7351
2016-01-19,NIFTY,196688,14751600,10958.68,3344312,250823400,188631.22,199589.9,16294.67,12.24878442,9448.31,7683418,9054612.14,17.21295083,7381.8,7462.75,7364.15,7435.1
2016-01-20,NIFTY,258965,19422375,14176.72,4539581,340468575,252463.13,266639.85,18064.1,14.76076029,10252.83,8611278,8876677.03,17.80828922,7357,7470.9,7241.5,7309.3
2016-01-21,NIFTY,292615,21946125,16059.19,5072788,380459100,281825.27,297884.46,18082.19,16.47391494,10277.29,7956017,8836083.53,17.54915846,7376.65,7398.7,7250,7276.8
2016-01-22,NIFTY,255347,19151025,14180.47,4348304,326122800,243098.31,257278.78,17412.42,14.77559007,9058.9,7976883,9009932.84,17.1431772,7355.7,7433.4,7327.6,7422.45
2016-01-25,NIFTY,281631,21122325,15746.25,4313861,323539575,242342.89,258089.14,13705.8,18.83065126,7142.53,7033104,9043622.92,15.39051457,7468.75,7487.15,7421.2,7436.15
2016-01-27,NIFTY,355336,26650200,19834.21,4707751,353081325,264489.77,284323.98,15222.75,18.67757008,7620.35,7101711,9065453.54,13.33502922,7469.6,7477.9,7419.7,7437.75
2016-01-28,NIFTY,307541,23065575,17169.58,6336485,475236375,355671.54,372841.12,20783.04,17.93968159,11483.1,7255679,9061635.71,20.71521493,7426.5,7468.85,7409.6,7424.65
2016-01-29,NIFTY,213335,16000125,12027.46,1985236,148892700,113018.19,125045.65,20637.33,6.059197096,9947.74,8130206,9209386.3,9.396679764,7413.35,7575.65,7402.8,7563.55
2016-02-01,NIFTY,131138,9835350,7454.59,1699044,127428300,97456.72,104911.31,16623.65,6.310967206,8125.47,7576598,9224068.71,13.07338432,7589.5,7600.45,7541.25,7555.95
2016-02-02,NIFTY,213133,15984975,12042.95,2625404,196905300,149850.08,161893.03,17364.83,9.323041458,9647.25,7710102,9086786.43,12.4429712,7566.65,7576.3,7428.05,7455.55
2016-02-03,NIFTY,172227,12917025,9560.32,2452910,183968250,138190.3,147750.62,16255.93,9.08902905,11408.69,7590895,8957589.7,14.45456847,7392.45,7419.4,7350.3,7361.8
2016-02-04,NIFTY,182689,13701675,10181.72,2461897,184642275,139027.94,149209.66,16898.46,8.829778572,9548.53,7547671,8983676.73,13.65466149,7411.45,7457.05,7365.95,7404
2016-02-05,NIFTY,184472,13835400,10360.85,2629712,197228400,148889.62,159250.47,17835.72,8.928737948,8924.48,7828286,9111903.81,14.3704059,7418.25,7503.15,7406.65,7489.1
2016-02-08,NIFTY,195848,14688600,10964.98,2499186,187438950,141675.72,152640.7,13840.26,11.02874512,8081.28,6420946,9040507.26,12.92074587,7489.7,7512.55,7363.2,7387.25
2016-02-09,NIFTY,197153,14786475,10832.91,3002490,225186750,167872.49,178705.4,14857.44,12.02800752,7577.17,6638239,8919291.6,15.49652771,7303.95,7323.45,7275.15,7298.2
2016-02-10,NIFTY,258312,19373400,14051.08,3489243,261693225,193583.82,207634.9,17322.29,11.98657337,10366.82,7399768,8774582.92,13.7771488,7264.3,7271.85,7177.75,7215.7
2016-02-11,NIFTY,320773,24057975,17066.31,4685411,351405825,256475.48,273541.79,18956.39,14.43005709,12108.83,8931863,8465969.86,15.02817422,7203.6,7208.65,6959.95,6976.35
2016-02-12,NIFTY,326135,24460125,17060.51,4797520,359814000,257992.2,275052.71,22454.39,12.24939578,13899.61,10732312,8442989.86,15.12218568,7023.65,7034.8,6869,6980.95
2016-02-15,NIFTY,221517,16613775,11876.33,3462157,259661775,187854.97,199731.3,18107.19,11.03049673,10531.38,8395219,8697971.46,15.81759432,7057.35,7182.8,7056.8,7162.95
2016-02-16,NIFTY,247359,18551925,13209.21,4370868,327815100,237028.22,250237.43,14976.72,16.70842681,8358.64,7390281,8538592.74,17.9441632,7201.25,7204.65,7037.7,7048.25
2016-02-17,NIFTY,279882,20991150,14797.83,5061173,379587975,271487.97,286285.8,16068.39,17.81670721,9525.52,7934958,8592093.78,18.34647175,7058.85,7123.7,6960.65,7108.45
2016-02-18,NIFTY,260632,19547400,14035.64,4484248,336318600,243484.68,257520.32,15895.41,16.20092341,8327.04,7799497,8677706.83,17.34760082,7177.4,7215.1,7127.85,7191.75
2016-02-19,NIFTY,202161,15162075,10913.94,3836420,287731500,208359.69,219273.63,12602.03,17.39986574,7038.52,6814806,8695213.81,19.09115223,7170.55,7226.85,7145.95,7210.75
2016-02-22,NIFTY,182565,13692375,9911.84,3295316,247148700,179766.32,189678.16,11646.18,16.28672749,6065.36,5966573,8736659.9,18.13652359,7208.85,7252.4,7200.7,7234.55
2016-02-23,NIFTY,375801,28185075,20167.89,5680158,426011850,307806.86,327974.75,13393.1,24.48833728,7188.58,6884277,8597852.59,15.26222426,7240.3,7241.7,7090.7,7109.55
2016-02-24,NIFTY,386040,28953000,20456.13,7130259,534769425,381812.4,402268.53,13095.88,30.71718205,7546.39,6811965,8491995.4,18.66493809,7075,7090.8,7009.75,7018.7
2016-02-25,NIFTY,423595,31769625,22254.89,8009978,600748350,425146.92,447401.81,18482.58,24.20667515,10701.02,7442852,8437300.43,19.10352826,7029.85,7034.2,6961.4,6970.6
2016-02-26,NIFTY,185417,13906275,9802.78,1747382,131053650,94375.02,104177.8,14088.48,7.394537949,7484.54,6743815,8477925.74,9.627373051,7039.3,7052.9,6985.1,7029.75
2016-02-29,NIFTY,426121,31959075,22413.29,5032173,377412975,269872.87,292286.16,24880.62,11.74754327,12717.03,9536728,8422857.36,12.04075216,7050.45,7094.6,6825.8,6987.05
2016-03-01,NIFTY,246510,18488250,13256.52,3083761,231282075,166369.58,179626.1,19399,9.259554616,9313.27,8597647,8677973.41,12.55001916,7038.25,7235.5,7035.1,7222.3
2016-03-02,NIFTY,231677,17375775,12759.96,2835307,212648025,157119.2,169879.16,20722.76,8.197709185,11040.46,8896879,8837790.67,12.31345553,7321.7,7380.35,7308.15,7368.85
2016-03-03,NIFTY,183621,13771575,10213.17,2404289,180321675,133834.09,144047.26,18725.94,7.69239141,10167.15,8407411,8954611.66,13.10406955,7429.55,7483.95,7406.05,7475.6
2016-03-04,NIFTY,164237,12317775,9162.3,2425188,181889100,136148.57,145310.87,18177.98,7.993785338,10845.27,7997949,8992361.33,14.85964987,7505.4,7505.9,7444.1,7485.35
2016-03-08,NIFTY,158038,11852850,8839.99,2368152,177611400,133187.54,142027.53,17889.56,7.939129302,10834.48,8200924,9006028.56,15.06648084,7486.4,7527.15,7442.15,7485.3
2016-03-09,NIFTY,185764,13932300,10419.21,2705763,202932225,151968.88,162388.09,18248.94,8.898494378,9546.76,7678377,9042770.86,14.5854513,7436.1,7539,7424.3,7531.8
2016-03-10,NIFTY,192916,14468700,10824.42,2775326,208149450,157181.69,168006.11,17181.83,9.778126661,8502.35,6910590,9007488.18,14.52102653,7545.35,7547.1,7447.4,7486.15
2016-03-11,NIFTY,215823,16186725,12147.8,3278265,245869875,185365.99,197513.79,15620.64,12.64441086,8191.75,6595977,9025548.94,15.25922307,7484.85,7543.95,7460.6,7510.2
2016-03-14,NIFTY,156755,11756625,8890.9,2351084,176331300,133552.69,142443.59,13848.96,10.28550808,7638.66,6413053,9049860.2,15.02127906,7542.6,7583.7,7515.05,7538.75
2016-03-15,NIFTY,161346,12100950,9081.95,2285931,171444825,129442.5,138524.45,15372.99,9.010898335,8479.12,6945015,8968308.28,14.25272106,7535.85,7545.2,7452.8,7460.6
2016-03-16,NIFTY,212884,15966300,11955.19,2954324,221574300,166650.44,178605.63,14529.09,12.29296742,8505.52,6630440,8972425.78,13.93958942,7457.05,7508,7405.15,7498.75
2016-03-17,NIFTY,218685,16401375,12408.79,3488229,261617175,197910.96,210319.75,17584.03,11.9608389,9394.49,8001175,9009833.86,15.94925533,7557.4,7585.3,7479.4,7512.55
2016-03-18,NIFTY,229926,17244450,13064.73,3877729,290829675,219863.58,232928.31,18911.93,12.31647484,9402.74,7762475,9102989.91,16.82878865,7534.65,7613.6,7517.9,7604.35
2016-03-21,NIFTY,216688,16251600,12469.04,3846873,288515475,220087.65,232556.69,16247.38,14.3134887,7848.26,7418452,9218564.76,17.65072933,7619.2,7713.55,7617.7,7704.25
2016-03-22,NIFTY,207641,15573075,11997.31,3901256,292594200,225049.25,237046.56,17496.41,13.54829705,8663.27,7380697,9239097.28,18.75830915,7695.55,7728.2,7643.8,7714.9
