Date,Type
2017-01-25,Actual but not predicted
2017-01-26,Predicted but not actual
2018-03-28,Actual but not predicted
2019-03-20,Actual but not predicted
2019-03-21,Predicted but not actual
2019-08-14,Actual but not predicted
2019-08-15,Predicted but not actual
2020-04-01,Actual but not predicted
2020-04-02,Predicted but not actual
2021-03-10,Actual but not predicted
2021-03-11,Predicted but not actual
2021-05-12,Actual but not predicted
2021-05-13,Predicted but not actual
2021-08-18,Actual but not predicted
2021-08-19,Predicted but not actual
2021-11-03,Actual but not predicted
2021-11-04,Predicted but not actual
2022-04-13,Actual but not predicted
2022-04-14,Predicted but not actual
2023-01-25,Actual but not predicted
2023-01-26,Predicted but not actual
2023-03-29,Actual but not predicted
2023-06-28,Actual but not predicted
2024-04-10,Actual but not predicted
2024-04-11,Predicted but not actual
2024-08-14,Actual but not predicted
2024-08-15,Predicted but not actual
2025-04-09,Actual but not predicted
2025-04-10,Predicted but not actual
2025-04-30,Actual but not predicted
2025-05-01,Predicted but not actual
2025-09-25,Actual but not predicted
2025-10-20,Actual but not predicted
2025-10-21,Predicted but not actual
2025-12-24,Actual but not predicted
2026-03-02,Actual but not predicted
2026-03-03,Predicted but not actual
2026-03-26,Actual but not predicted
2026-03-30,Actual but not predicted
2026-04-13,Actual but not predicted
2026-04-14,Predicted but not actual
2026-06-25,Actual but not predicted
2026-09-08,Predicted but not actual
2026-09-15,Predicted but not actual
2026-09-22,Predicted but not actual
2026-10-06,Predicted but not actual
2026-10-13,Predicted but not actual
2026-10-20,Predicted but not actual
2026-10-27,Predicted but not actual
2026-11-03,Predicted but not actual
2026-11-10,Predicted but not actual
2026-11-17,Predicted but not actual
2026-11-24,Predicted but not actual
2026-12-01,Predicted but not actual
2026-12-08,Predicted but not actual
2026-12-15,Predicted but not actual
2026-12-22,Predicted but not actual
2026-12-31,Actual but not predicted
2027-01-05,Predicted but not actual
2027-01-12,Predicted but not actual
2027-01-19,Predicted but not actual
2027-01-26,Predicted but not actual
2027-02-02,Predicted but not actual
2027-02-09,Predicted but not actual
2027-02-16,Predicted but not actual
2027-02-23,Predicted but not actual
2027-03-02,Predicted but not actual
2027-03-09,Predicted but not actual
2027-03-16,Predicted but not actual
2027-03-23,Predicted but not actual
2027-04-06,Predicted but not actual
2027-04-13,Predicted but not actual
2027-04-20,Predicted but not actual
2027-04-27,Predicted but not actual
2027-05-04,Predicted but not actual
2027-05-11,Predicted but not actual
2027-05-18,Predicted but not actual
2027-05-25,Predicted but not actual
2027-06-01,Predicted but not actual
2027-06-08,Predicted but not actual
2027-06-15,Predicted but not actual
2027-06-22,Predicted but not actual
2027-06-24,Actual but not predicted
2027-07-06,Predicted but not actual
2027-07-13,Predicted but not actual
2027-07-20,Predicted but not actual
2027-07-27,Predicted but not actual
2027-08-03,Predicted but not actual
2027-08-10,Predicted but not actual
2027-08-17,Predicted but not actual
2027-08-24,Predicted but not actual
2027-08-31,Predicted but not actual
2027-09-07,Predicted but not actual
2027-09-14,Predicted but not actual
2027-09-21,Predicted but not actual
2027-09-28,Predicted but not actual
2027-10-05,Predicted but not actual
2027-10-12,Predicted but not actual
2027-10-19,Predicted but not actual
2027-10-26,Predicted but not actual
2027-11-02,Predicted but not actual
2027-11-09,Predicted but not actual
2027-11-16,Predicted but not actual
2027-11-23,Predicted but not actual
